,original_text,paraphrase
42,NOTHING NEW\n\nUNDER THE SUN,"The more things change, the more they stay the same."
43,BIDEN RALLY\n\nBIDEN ECONOMY\n\nYOUR WALLET,"BIDEN RALLY: ELECTRIC BOOGALOO

BIDEN ECONOMY: MONEY HEIST

YOUR WALLET: THE HEIST"
44,Q: WHO ARE YOU TALKING TO ABOUT FOREIGN POLICY?\nA: NUMBER ONE I'M TALKING TO MYSELF BECAUSE I HAVE A GOOD BRAIN AND I'VE SAID A LOT OF THINGS.\n\nTHIS IS NOT A JOKE.\nTHIS IS HIS ACTUAL ANSWER.,"Q: And who, pray tell, are you discussing foreign policy with?

A: First and foremost, I consult with myself because I possess a brilliant brain and have articulated many insightful thoughts.

This, my friends, is no laughing matter. These are the exact words that emerged from his mouth."
45,BET YOU ALL LIKE COAL MINES AND PIPELINES TODAY,"""OH, SO YOU ENJOY POLLUTING THE ENVIRONMENT AND DESTROYING THE PLANET? COAL MINES AND PIPELINES ARE YOUR FAVORITE, HUH?"""
46,WE NEED AIR SUPPORT!\n\nYOU CAN DO IT!,"""BRING IN THE AIR POWER, BABY!\n\nYOU GOT THIS! LET'S SEE THAT CAN-DO ATTITUDE!"""
47,Finnish & Russian neighbourhood\n\n6 miles apart,"Finland & Russia: BFFs

Only 6 miles apart, these two are #neighborgoals"
48,GROWN BY AFGHAN POPPY FARMERS\n\nGUARDED BY LLS. ARMY\n\nSOLD BY C.I.A.,"""HARVESTED UNDER THE AFGHAN MOON, BY DEDICATED FARMERS\n\nPROTECTED BY THE BRAVE SOLDIERS OF THE LLS ARMY\n\nDISTRIBUTED GLOBALLY BY THE C.I.A."""
49,THE 3 MOST POWERFUL MILITARIES IN THE WORLD,THE BIG 3 MILITARY MACHINES THAT PACK A PUNCH!
50,My brain is this big,"My brain? Oh yeah, it's huge...like, massive."
51,I LOST\n\nTO OBAMA'S VICE-PRESIDENT\n,"I got BEATEN by...

...OBAMA'S SIDEKICK!"
52,2000 YEARS AGO\n\nTODAY,"A LONG ASS TIME AGO...

RIGHT NOW"
53,My morning routine:\n1. Wake up\n2. Check on Zelenskyy\n3. Coffee,"My morning routine:

1. Rise and shine.
2. Is Zelenskyy still slaying? Check.
3. Coffee, because I need to stay awake for democracy."
54,How My Savings Looked Under Trump\n\nHow My Savings Look Under Biden,"How My Savings Were During the Trump Years

How My Savings Are Doing With Biden in Office"
55,My priority will always be the most vulnerable\n\nNotice I didn't say SUPPORTING the most vulnerable.\n,"""Protecting the vulnerable will always be my top priority. 

I didn't say 'supporting' them; I said 'protecting.' Big difference."""
56,AMERIGEDDON\nMARCHES FORWARD\nJUNE 10TH,"AMERIGEDDON
CHARGES AHEAD
ON THE TENTH OF JUNE"
57,When the person you have been threatening starts throwing missiles and now you have to change your identity,"When the dude you've been dissing starts launching rockets, you know it's time for a new alias."
58,CDC\n\nWorld Health Organization\n\nBIG PHARMA\n\nCLINTON FOUNDATION\n\nChan Zuckerberg Initiativee\n\nBILL&MELINDA GATES foundation,"CDC

World Health Organization

Big Pharma $

Clinton Cartel

Zuck Chan Initiative

Bill & Melinda: The Gates Open"
59,THIS IS WHERE I LIVE.\nI'VE BEEN TOLD TO TAKE BETTER CARE OF THE ENVIRONMENT\n\nBY PEOPLE\nWHO LIVE HERE:,"THIS IS MY HOUSE.
PEOPLE AROUND HERE TELL ME I NEED TO BE A BETTER STEWARD OF THE ENVIRONMENT:"
60,"When you have to be at, you know the thing, but it's cutting into your ice cream then nap time.","When that thing comes around and interrupts your ice cream-nap schedule, you know, that time when you gotta be at ""the place"", but your heart and soul are just like, ""but ice cream and then napping was the plan, though."""
61,Brexit promised\n\nBrexit delivered,"Brexit: As Promised, As Delivered."
62,A SUPPLY CHAIN IS ONLY AS STRONG\n\nBIDEN\n\nAS ITS WEAKEST LINK,"A supply chain is only as sturdy as its most fragile component. 

BIDEN 

Fragile like a porcelain doll."
63,CRITICAL RACE THEORY EXPLAINED IN CATS\n\nBrown Cat\nBlack Cat\nRacist Cat,"CRITICAL RACE THEORY, BUT WITH CATS:

**Tabby Cat**
**Black Cat**
**Cat with a Tiny Hat**"
64,DO YOU SUPPORT CONVICTION?,"""ARE YOU DOWN WITH THE PUNISHMENT?"""
65,JOY VILLA WENT FROM A \FENCE DRESS\\n\nAND UPGRADED TO A \WALL DRESS\,JOY VILLA SWITCHED FROM A \LITTLE PICKET FENCE DRESS\\n\nTO SLAY IN A \BRICK WALL DRESS
66,"Dear God, make me a bird* so I can fly far, far away from here. (*not a gay bird)","Oh, Heavenly Father, bestow upon me the wings of a bird, so that I may soar above the rainbow and escape this wretched place. But please, Lord, I pray thee, make me not a bird of the rainbow-feathered variety, for I am not of that persuasion."
67,I TOLD YOU I WAS RIGHT ABOUT CAPITALISM,I TOLD Y'ALL I WAS SPOT ON ABOUT THAT CAPITALISM NONSENSE!
68,Take us to your leader\n\nNever mind,"Take me to your leader...

On second thought, forget it."
69,Another twenty minutes and I think we'll have it\n\nTWO HOURS LATER,"Give it another 20 minutes, I'm sure we'll get there...

*Cuts to:*

**TWO HOURS LATER**"
70,Supreme Court Justice Ketanji Brown Jackson,"Ketanji Brown Jackson: Supreme Court Justice and Living, Breathing Meme."
71,LIST OF\n\nJOE BIDEN'S ACCOMPLISHMENTS,A Comprehensive Rundown of Joe Biden's Achievements
72,IF YOU LOVE THIS FLAG\n\nPLEASE LIKE AND SHARE!,"If this flag makes ya feel all warm and fuzzy inside...

SMASH THAT LIKE BUTTON AND SHARE IT AROUND, BABY!"
73,Select all squares with\nCRIMEAN BRIDGE,"""Select all squares with 'CRIMINAL BRIDGE' -- I mean 'CRIMEAN BRIDGE'. My fingers keep getting ahead of my brain."""
74,"No One:\nThe Government:\n\nNow, don't be afraid.\n\nI love you.","No one:

The Government:

We're here for you. We only want to help."
75,WE NOW HAVE REASON TO BELIEVE THAT TRUMP\nRETURNED A VHS TO BLOCKBUSTER WITHOUT REWINDING IT IN 1991\n,NEW EVIDENCE SUGGESTS TRUMP MAY HAVE COMMITTED A HEINOUS ACT: RENTING A VHS FROM BLOCKBUSTER AND FAILING TO REWIND IT BEFORE RETURNING IN '91.
76,And the winner of the Democrat Debate is...,And the champion of the Democrat Discourse...
77,I PLEDGE TO VOTE FOR THIS MAN AGAIN\n\nAND I TRUST HIM MORE THAN ANY MEDIA COMPANY ON THE PLANET,"I'D VOTE FOR THIS GUY ANY DAY OF THE WEEK\n\nAND I'D TRUST THIS MAN OVER ANY NEWS OUTLET, ANY DAY."
78,Joe Biden\nCorn Maze,Corn Maze Biden
79,DO YOU MISS ME YET?,"""Are you feeling my absence yet?"""
80,SAY WHAT YOU WANT ABOUT DEMOCRATS BUT MY FOOD IS ALWAYS SERVED FRESH WITH A SMILE,"I could write a thesis on the Democrats, but my food is always on point and the service comes with a smile!"
81,2008\n\n2022,"Two thousand and late

Two thousand and twenty-late"
82,TRUMP,T-Rex Ultra Meme Power
83,"I VOTED FOR THIS MAN YOU MAY HATE ME FOR IT, BUT THAT'S OK\n\nOH, BY THE WAY, I WILL VOTE FOR HIM AGAIN IN 2020.","""I PRESSED THAT 'VOTE' BUTTON WITH PRIDE, AND IF YOU DISLIKE ME FOR IT, WELL, I SLEEP PEACEFULLY AT NIGHT. 

AND FOR THE RECORD, 2020 WILL SEE ME DO THE SAME. #NOREGRETS"""
84,This is the biden administration,This is the Biden-era gang.
85,THE WESTERN JOURNAL\n\nUS Embassy in Afghanistan Attacked on 9/11 Anniversary,"THE GOOD OL' WESTERN TIMES

*US Embassy in Afghanistan Pranked on 9/11 Anniversary*

Seems like those Afghan folks have a wild sense of humor!"
86,"\Mr. President, here's Donald Trump's latest poll numbers.\","""Mr. President, I present to you the freshest poll numbers straight from the Trumpster himself."""
87,Listen here Jack\n\nCry harder,"Listen up, Jacky-boy, go ahead and bawl your eyes out."
88,"Well dear, if you ask me, you should be seeking asylum and he should be in one.","""My dear, it's quite clear. You, seeking asylum, and him, becoming one with the walls. That's the ticket."""
89,When you're trying to choose a career based on your knowledge learned in gender studies,When your gender studies knowledge is the North Star for your career choices...
90,US\nUK\nRUSSIA,"'MURICA

BLIMEY

BALALAIKA"
91,Has Anyone Seen Science? Is He Missing?\n\nI'm Starting To Get Worried...,"""Last time I saw Science, he was heading towards the back of the fridge. Maybe try checking there? I'm getting anxious about his whereabouts..."""
92,WHO WORE IT BETTER?,Which fashionista slayed it harder?
93,THE DOLLAR USED TO BE BACKED BY THIS\n\nNOW IT IS BACKED BY THIS,"""THE DOLLAR: THEN VS NOW

BACK THEN: ...

NOW: ..."""
94,"TAKE THIS, PUTIN !!!","TAKE THAT, MR. PUTIN!!!"
95,Imagine acting shocked when the country you dispise most & the country you wish would cease to exist - bans you from entering their country because you\nplanned on talking to the exact people attempting to eliminate them...\n\nHer brother..husband...must not approve of her behavior.\n\nSOME PEOPLE WEREN'T ALLOWED TO GO SOMEWHERE,"Imagine feigning surprise when the nation you loathe and desire to see obliterated decides to prohibit your entry because you intended to converse with those seeking its annihilation... Oh, the irony! Her male relatives must be cringing at her theatrics. What a joke! Some folks just can't catch a break, huh?"
96,"At 13, NASA told her women couldn't be astronauts\n\nSo she's running to be the first woman president instead","At 13, NASA said ""No girls allowed"" to astronaut dreams. 

So now she's like: ""I'll be the first female president instead, no big deal."""
97,Trump campaign headquarters right now,Trump's War Room as we speak!
98,EVERYTHING IS GOING ACCORDING TO THE PLAN \n,The plan is in motion; all is proceeding as intended.
99,YOU LOST AGAIN?\n\nWTF! BUMMER\n,"""YOU LOSE AGAIN?!\n\nOH SNAP! THAT'S TOUGH LUCK, BRO"""
100,I persuaded over 900 people to drink my Koolaid\n\nAmateur...,"""I convinced a whole town to chug my special brew. 

These noobs can't even influence their parents to try it. 

Amateur hour, my friend."""
101,WASHINGTON\n\nWHITE HOUSE BRIEFING\n\nJEN PSAKI\n\nWhite House Press Secretary,"*WASHINGTON, WHITE HOUSE*

*Jen Psaki, our beloved White House Press Secretary, graces us with her presence once again.*"
102,"\I ALWAYS FELT LIKE I WAS IN THE MILITARY\\n\nI GOT \MORE TRAINING MILITARILY THAN A LOT OF THE GUYS THAT GO INTO THE MILITARY\\n\nNO.\nGoing to an expensive prep school, wearing a uniform, and marching, is not like being in the military.\n\nYOU WOULD KNOW THAT IF YOU HAD ACTUALLY SERVED, BUT INSTEAD YOU GOT 5 DRAFT DEFERMENTS!","""I THOUGHT I WAS A NAVY SEAL\n\nI DID \MORE 'MILITARY' STUFF THAN REAL SOLDIERS\n\nWRONG!

Just because you went to a fancy school with a uniform and marching band doesn't make you a soldier.

IF YOU HADN'T DODGED THE DRAFT 5 TIMES, YOU WOULD KNOW THAT! But no, you just played dress-up while real men and women served."""
103,MOBILIZED!,"""FULLY MOBILISED, READY TO ROLL! LET'S GET THIS SHOW ON THE ROAD, BABY!"""
104,CORN POP & TRIXIE,"""Cap'n Corn Pop & Trix-Trex"""
105,2000\n\n2007\n\n2012\n\n2016\n\n2020\n,"2000 was a year... 

Then 2007 happened... 

But we moved on to 2012 like... 

And then 2016 was like: 

[Image: Surprised Pikachu Meme] 

But we kept going and here we are in 2020 like: 

[Image: Confused Mr. Bean Meme]"
106,The resemblance is uncanny,"""It's like they were twins separated at birth!"""
107,\Did you bring the black guy?\\n\No... did you?\\n\I thought you had him.\,"""Where's the guy?

I thought *you* had him...

No, *you* were supposed to bring him!"""
108,"It's almost impossible to believe he exists. \nIt's as if we took everything that was bad about America, scraped it up off the floor, wrapped it all up in an old hot dog skin, and then taught it to make noises with its face.","It's hard to accept that he's real. It feels like we took all the worst parts of America, stuffed them into an empty bag of freedom fries, and then taught that bag to speak by giving it an electric shock every time it made a noise that resembled words."
109,1920\n1941\n2015,"1920: The Roaring Twenties
1941: A New Hope
2015: The Force Awakens"
110,Trump acquitted\n\nGOP-LEDSENATE CLEARS PRESIDENT ON BOTH COUNTS,"Trump: *You're fired!*

Senate: IMPEACHMENT TRIAL OVER! NOT GUILTY!"
111,ANY OF THEM WILL DO. I DON'T CARE.\n\nI JUST WANT A BLACK FEMALE JUDGE.,"Literally, ANY black female judge. I don't have a preference, just give me a SISTA on the bench!"
112,"DUDE, Where's my LAPTOP","BRO, have you seen my NOTEBOOK?"
113,ELON MUSK\n\nDIDN'T KILL HIMSELF,"HE WHO MUST NOT BE NAMED

LIVES ON"
114,"THANK YOU JESUS, FOR THIS MEAL.\n\nDE NADA","""GRACIAS A DIOS, POR ESTA COMIDA.\n\nNO, NO HAY DE QUÉ."""
115,Campbell's\njust soup for my family\n,Campbell's: Fueling my family's soup needs since forever.
116,"Nigeria's President Muhammadu Buhari Sorry for Plagiarizing Obama Speech\n\nBy The Associated Press\n\n\Wait, we're supposed to apologize when we do that?\","Nigeria's President Muhammadu Buhari is sorry for borrowing from former US President Obama's past speeches. 

*Associated Press: So, we're supposed to issue an apology when we 'inspire' ourselves from others' work?* 

*President Buhari: Well, now I'm sorry!*"
117,Writes in all lowercase\nBecause she hates capitalism,"writes in lowercase
she owns the means of production"
118,TRUMP SUPPORTERS BE LIKE\n\nSHOW ME WHERE HE LIED,"TRUMPSTERS: ""WHERE'S THE LIE, THO?"""
119,BEST HALLOWEEN\n\nCOSTUME YET,"""BEST HALLOWE'EN

GETUP SO FAR"""
120,MEAN TWEETS \n2024\nCHEAP GAS,"""Mean Tweets: Cheap Gas Edition"""
121,CAUSE\n\nand\n\nEFFECT,"""The Chicken

or

The Egg?"""
122,Completely exonerated\nNo collusion.,"""Exonerated AF. 
No collusion, fam."""
123,"shortly after Elon Musk buys twitter:\n\nAhhhh after 10,000 years I'm free!","The day after Elon Musk purchases Twitter:

Ahhhh, at long last, freedom! It felt like an eternity, yet here I am, liberated after a mere 10 millennia!"
124,REPUBLICANS RIOT AFTER ROY MOORE LOST THE ALABAMA ELECTION,DEMS DISTURB THE PEACE WHEN ROY MOORE'S ALABAMA VICTORY VANISHES
125,This is America\n\nNot this.,"This is America

But we can do better."
126,On a scale from 1-10 how evil are you?\n\nI want to block out the sun.,"""On a scale from one to 'I am the darkness', how much do I enjoy seeing the world burn?"""
127,"\I'm sorry Kwasi.\\n\n\Please, Liz, don't let me go!\\n\n\You'll always be my friend.\\n\n*drowns*","""I'm sorry, Kwasi...

No, Liz, don't let go!

We were bros forever...

*drowns in sorrow*"""
128,2 WEEKS\n\nAMERIGEDDON\nAMERIGEDDONTHEMOVIE.COM,"2 WEEKS UNTIL...

AMERIGEDDON: THE APOCALYPSEDON

GET READY FOR THE END OF DAYS, FOLKS

(Visit: APOCALYPSEDONTHEMOVIE.WEB for more)"
129,EXPLAINING TO DEMOCRATS\n\nTHE DIFFERENCE BETWEEN LEGAL AND ILLEGAL IMMIGRANTS,"EXPLAINING TO MY GRANDPA

THE DIFFERENCE BETWEEN LEGAL AND ILLEGAL IMMIGRANTS"
130,RUSSIANS!\n,Comrades of the Motherland!
131,RUSSIA'S OFERTON \Z\I\n\nUKRAINE'S OPERATION \Ctrl-Z\,"RUSSIA'S BIG OOF \Alt-Z\

UKRAINE'S CLUTCH MOVE \Ctrl+Z"
132,"Come join us, Rush Limbaugh","Y'all come on over, Rush Limbaugh!"
133,"\HELLO, IS THAT THE SUN NEWS DESK?\nYOU'RE NOT GOING TO BELIEVE THIS.\","""Ahoy, Sun News Desk? You're gonna want to hear this—it's a wild one!"""
134,MANAGEMENT MATERIAL\n\nYou had one job...,"""CAPTAIN OF INDUSTRY\n\n...and you messed it up!"""
135,So urm you seen the news?,"""Yo, did you catch the latest tea on the news, fam?"""
136,Khazi Kwarteng,K-Haz Kwart-Eng
137,"VOTE FOR ME AS PRESIDENT\n\nyea, thats gunna be a no for me dog","""NO WAY, JOSE!\n\nI'm not voting for you as president. Hard pass, my dude."""
138,Happy 4th of July,"'Merica, 'Merica -- 'tis the 4th of July, y'all!"
139,UNEMPLOYMENT FALLS TO LOWEST LEVEL SINCE 1969\n,"Unemployment? More like UNEMPOWERMENT amirite? But fr, it's at its lowest since the summer of '69."
140,Russian Army training ahead of their May 9th parade in Moscow...\n\nRussian Army training ahead of their May 9th parade\nin Moscow. Looks familiar doesn't it? Russian Army\ntraining ahead of their May 9th parade in Moscow.\n\nInspection!,"Russian Army getting ready for their May 9 parade in Moscow... Looks like they're preparing for a familiar routine! Russian Army, all lined up for the May 9 parade in Moscow. Inspection time!"
141,"If you do not know what you're doing, neither does your enemy.\nJoe Tzu","If your plans are a mess, at least your enemy is guessing.

-- Joe Tzu, the master of confusion"
142,OUR NEXT PRESIDENT?,"OUR FUTURE LEADER, PERHAPS?"
143,The guy who made the joke\n\nThe guy who said it louder\n\nThe guy who ruined it\n\nThe guy who took it too far,The comedian\nThe announcer\nThe deal-breaker\nThe one who dozed off and woke up in another realm.
144,Happy Presidents' Day!,"Have a Presidential Day, folks!"
145,2021 COVID DEATHS SURPASS 2020\nMASSIVE SUPPLY HAIN CRISIS\nAFGHAN WITHDRAW DEBACLE\nCONCERNED PARENTS ARRESTED,"""2021: THE YEAR OF 'OH, SO THAT'S WORSE THAN LAST TIME'
- COVID deaths: a sequel nobody asked for
- Supply chain crisis: just when you thought you'd finally get your package
- Afghan withdraw: a strategic retreat (aka tactical retreat)
- Concerned parents: arrested for caring too much"""
146,YES I'D LIKE TO FILE A WHISTLE BLOWER COMPLAINT...\n\nI FEEL ITS CORRUPT FOR TRUMP TO EXPOSE MY CORRUPTION AND I'D LIKE IT STOPPED.\nYES. AND WHILE YOUR AT IT KEEP AN EYE ON CORN POP,"YES, I'D LIKE TO REGISTER A COMPLAINT ABOUT A WHISTLE-BLOWER...\n\nI BELIEVE IT IS UNETHICAL FOR TRUMP TO EXPOSE MY WRONGDOINGS AND I REQUEST THAT IT CEASES IMMEDIATELY.\n ALSO, PLEASE INVESTIGATE CORN POP, AS I SUSPECT THEY ARE UP TO NO GOOD."
147,DID ANYONE NOTICE THE OSCAR'S STAGE\n\nIS A GIANT EYE?,"Did y'all realize the Oscar's stage was a HUGE eyeball? Like, it was literally staring at us the whole time!"
148,WHO'S READY FOR TRUMP'S FIRST RALLY IN MONTHS THIS SATURDAY?!,"""IS EVERYONE HYPED FOR THE BIG MAN'S RALLY AFTER SO LONG? THIS SATURDAY, LET'S GO!!!"""
149,"I have a quick question....\n\nIF THIS WAS THE PILOT, WOULD YOU GET ON THE AIRPLANE","""Just a quick query... 
IF THIS WAS THE INTRO, WOULD YOU STICK AROUND FOR THE FULL SERIES?"""
150,UKRAINIAN ARMY PHOTOGRAPHER\n\nTAKING A PICTURE OF A TANK,"**UKRAINIAN TANK PHOTOGRAPHER** 

**CAPTURING THE MOMENT WITH A TANK**"
151,"AUGUST 6,2011\n\nEXTORTION 17\nNEVER FORGOTTEN","AUGUST 6, 2011:

*A day forever etched in memory...* 

**EXTORTION 17: THE UNFORGOTTEN** 

*They tried to sweep it under the rug, but we remember...*"
152,SO... HAVE YOU ALWAYS BEEN A WOMAN?,"""Like, seriously, have you NEVER been a dude, EVER?"""
153,ATF Gun Classification Made Easy!\n\nCompletely Legal\nNeeds a \tax stamp\,"ATF Gun Classification, Simplified! 

Totally above board and legit, this process just needs that sweet, sweet tax stamp."
154,\I said I had more than 100 MP backers when it was only 59 because I've had double vision ever since I nearly died from Covid\,"""I claimed to have over 100 MP backers, but the truth was just 59. My vision has been blurry ever since Covid tried to take me out, so I literally saw double the number!"""
155,JUST GIVE ME THE POWER!!!,"GIMME ALL THE POWER, AND I MEAN NOW!!!"
156,*Middle of a sentence approaches*\n\nKamala Harris:,"*An anticipatory pause fills the air*

Kamala Harris: ""I was going to say—"""
157,"Throwing balloons full of heavily salted water would likely cause the electrodes on the surface of the shields to short out, and likely form a path to ground immediately draining the battery, so do NOT do that\n\nA better look at the new taser shields being used in Memphis.","""Bro, don't try this at home: chucking balloons with salted water at the new taser shields will fry those bad boys like bacon, shorting the electrodes and creating a path to ground that'll drain the battery faster than a kid slurping a milkshake. These Memphis taser shields are no joke, but we can't help but admire the creativity of those who want to test them... just don't!"""
